operator,inout_travelling,network_type,rating,calldrop_category,latitude,longitude,state_name
RJio,Indoor,4G,3,Satisfactory,30.1047995,78.287649,Uttarakhand
Airtel,Indoor,2G,1,Poor Voice Quality,13.027665,77.60617333,Karnataka
RJio,Indoor,4G,5,Satisfactory,12.95661223,77.48967524,Karnataka
RJio,Travelling,4G,5,Satisfactory,12.95661223,77.48967524,Karnataka
RJio,Indoor,4G,5,Satisfactory,12.95661223,77.48967524,Karnataka
RJio,Indoor,4G,5,Satisfactory,12.9566106,77.489644,Karnataka
RJio,Travelling,4G,5,Satisfactory,12.95661223,77.48967524,Karnataka
RJio,Travelling,4G,5,Satisfactory,12.95661223,77.48967524,Karnataka
RJio,Indoor,4G,5,Satisfactory,12.95659272,77.48952109,Karnataka
RJio,Indoor,4G,5,Satisfactory,12.95661223,77.48967524,Karnataka
RJio,Outdoor,4G,5,Satisfactory,12.95657856,77.48979293,Karnataka
RJio,Indoor,Unknown,2,Poor Voice Quality,19.2205628,72.8429211,Maharashtra
RJio,Indoor,Unknown,2,Call Dropped,19.2205068,72.8427726,Maharashtra
RJio,Indoor,4G,3,Satisfactory,30.1144155,78.284009,Uttarakhand
RJio,Indoor,4G,3,Satisfactory,30.1144155,78.284009,Uttarakhand
RJio,Indoor,4G,3,Satisfactory,30.1153907,78.2819204,Uttarakhand
RJio,Indoor,Unknown,1,Poor Voice Quality,19.2205235,72.8427798,Maharashtra
RJio,Indoor,Unknown,3,Satisfactory,30.1154897,78.2819398,Uttarakhand
RJio,Indoor,4G,4,Satisfactory,18.45501746,73.95941252,Maharashtra
RJio,Indoor,4G,4,Satisfactory,18.45502258,73.95939886,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,18.4520384,73.9633979,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,18.4520384,73.9633979,Maharashtra
RJio,Travelling,4G,3,Satisfactory,18.45501973,73.9594185,Maharashtra
RJio,Indoor,4G,3,Satisfactory,30.1155765,78.2818053,Uttarakhand
RJio,Indoor,Unknown,3,Satisfactory,30.104801,78.2876532,Uttarakhand
